"행정구역(시·군)별","경제활동별","항목","단위","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년",
"시흥시","보건 및 사회복지사업","산출액(당해년가격)","","733819","683430","641161","620141","563560","556149","495986",
"시흥시","보건 및 사회복지사업","중간소비","","306299","287088","293547","299493","270595","269295","236709",
"시흥시","보건 및 사회복지사업","지역내총부가가치(당해년가격)","","427520","396341","347614","320648","292965","286854","259277",
"시흥시","보건 및 사회복지사업","고정자본소모","","38675","37417","35424","33470","31474","30659","26960",
"시흥시","보건 및 사회복지사업","지역내순생산","","388845","358924","312190","287178","261491","256195","232316",
"시흥시","보건 및 사회복지사업","기타생산세(기타생산보조금 공제)","","1344","1276","153","1940","1776","1837","1378",
"시흥시","보건 및 사회복지사업","지역내요소소득","","387501","357648","312038","285238","259715","254358","230938",
"시흥시","보건 및 사회복지사업","2010년 기준년 고정가격_산출액","","694532","661032","629343","555681","545993","536818","495986",
"시흥시","보건 및 사회복지사업","2010년 기준년 고정가격_지역내","","366174","358150","337127","314515","285791","279884","259277",
"시흥시","문화 및 기타서비스업","산출액(당해년가격)","","597615","577539","587764","549681","555971","506618","472481",
"시흥시","문화 및 기타서비스업","중간소비","","304630","298538","300760","280390","284221","265561","245978",
"시흥시","문화 및 기타서비스업","지역내총부가가치(당해년가격)","","292986","279001","287005","269291","271750","241057","226503",
"시흥시","문화 및 기타서비스업","고정자본소모","","55236","54570","54808","51507","52418","47106","43352",
"시흥시","문화 및 기타서비스업","지역내순생산","","237750","224431","232197","217785","219332","193950","183152",
"시흥시","문화 및 기타서비스업","기타생산세(기타생산보조금 공제)","","11695","11177","9251","8262","8178","7505","5118",
"시흥시","문화 및 기타서비스업","지역내요소소득","","226055","213254","222946","209523","211154","186445","178034",
"시흥시","문화 및 기타서비스업","2010년 기준년 고정가격_산출액","","528341","521979","533955","512322","524902","485596","472481",
"시흥시","문화 및 기타서비스업","2010년 기준년 고정가격_지역내","","245428","243791","254375","248192","253122","228976","226503",
"군포시","총부가가치(기초가격)","산출액(당해년가격)","","12941580","12549620","12662657","12502246","11851448","13374571","12730743",
"군포시","총부가가치(기초가격)","중간소비","","7160089","7037539","7256023","7303546","7028994","8305439","7751020",
"군포시","총부가가치(기초가격)","지역내총부가가치(당해년가격)","","5781491","5512081","5406634","5198700","4822454","5069132","4979723",
"군포시","총부가가치(기초가격)","고정자본소모","","1247722","1216922","1191123","1126013","1030950","1106948","1056519",
"군포시","총부가가치(기초가격)","지역내순생산","","4533769","4295159","4215511","4072687","3791504","3962184","3923204",
"군포시","총부가가치(기초가격)","기타생산세(기타생산보조금 공제)","","80346","77281","71176","74356","69289","71190","55335",
"군포시","총부가가치(기초가격)","지역내요소소득","","4453423","4217879","4144335","3998332","3722214","3890994","3867869",
"군포시","총부가가치(기초가격)","2010년 기준년 고정가격_산출액","","13050384","12433062","12550838","12111435","11551091","13180626","12730743",
"군포시","총부가가치(기초가격)","2010년 기준년 고정가격_지역내","","5164246","4982961","5038746","4867964","4682035","5059774","4979723",
"군포시","농림어업","산출액(당해년가격)","","1985","2138","2092","2003","1896","2101","1599",
