"행정구역별(시군구)","거처의종류",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"광명시","주택",99721,113573,110275,10,X,3287,299716,293209,78,9,6420
"광명시","단독주택",5598,18868,16480,X,X,2386,38280,33860,6,9,4405
"광명시","아파트",70820,70896,70623,X,X,269,200377,199798,29,X,550
"광명시","연립주택",1493,1496,1480,X,X,16,3948,3920,X,X,28
"광명시","다세대주택",21261,21342,20790,X,X,549,54896,53565,22,X,1309
"광명시","비거주용건물내 주택",549,971,902,X,X,67,2215,2066,21,X,128
"광명시","주택이외의 거처",4952,5353,5139,5,20,189,9894,7526,49,1967,352
"광명시","오피스텔",4252,4259,4158,X,X,100,6110,5934,7,X,169
"평택시","계",178344,208466,197997,95,109,10265,509907,477029,786,10029,22063
"평택시","주택",171851,200446,191566,77,X,8801,484703,466411,599,35,17658
"평택시","단독주택",30947,57987,52846,23,X,5116,116681,106427,171,35,10048
"평택시","아파트",114886,115224,113330,24,X,1870,309511,305387,160,X,3964
"평택시","연립주택",4291,4299,4162,X,X,135,9930,9644,12,X,274
"평택시","다세대주택",19958,20052,18687,10,X,1355,42201,39430,75,X,2696
"평택시","비거주용건물내 주택",1769,2884,2541,18,X,325,6380,5523,181,X,676
"평택시","주택이외의 거처",6493,8020,6431,18,107,1464,25204,10618,187,9994,4405
"평택시","오피스텔",1747,1759,1584,X,X,175,3061,2727,X,X,334
"동두천시","계",34527,38390,37297,11,49,1033,94342,87789,89,3836,2628
"동두천시","주택",33510,36976,36108,6,X,860,88033,85889,40,99,2005
"동두천시","단독주택",6162,9393,8896,X,X,493,19062,17854,21,17,1170
"동두천시","아파트",19774,19837,19672,X,X,164,52409,52020,6,X,383
"동두천시","연립주택",1971,1975,1933,X,X,42,4124,4049,X,X,75
"동두천시","다세대주택",5280,5300,5169,X,X,131,11289,11018,X,X,271
"동두천시","비거주용건물내 주택",323,471,438,X,X,30,1149,948,13,82,106
"동두천시","주택이외의 거처",1017,1414,1189,5,47,173,6309,1900,49,3737,623
"동두천시","오피스텔",159,162,148,X,X,14,222,204,X,X,18
"안산시","계",205456,283124,253140,162,145,29677,697701,621999,1342,11342,63018
"안산시","주택",193891,269714,242632,84,X,26996,663910,606901,642,24,56343
"안산시","단독주택",15530,88344,71508,6,X,16829,172194,138426,51,10,33707
"안산시","아파트",101039,101355,99703,25,X,1627,288981,284738,172,X,4071
"안산시","연립주택",8525,8554,8375,X,X,179,22683,22220,X,X,463
"안산시","다세대주택",67499,67989,60528,32,X,7428,172593,156190,220,14,16169
"안산시","비거주용건물내 주택",1298,3472,2518,21,X,933,7459,5327,199,X,1933
"안산시","주택이외의 거처",11565,13410,10508,78,143,2681,33791,15098,700,11318,6675
"안산시","오피스텔",7263,7299,6844,X,X,454,10323,9549,6,X,768
"상록구","계",99789,141936,134952,69,45,6870,349771,329833,546,5375,14017
"상록구","주택",97664,139360,132755,34,X,6570,339943,326267,252,10,13414
"상록구","단독주택",7998,48459,44208,X,X,4249,96137,87718,8,10,8401
"상록구","아파트",39979,40057,39781,8,X,268,114875,114255,59,X,561
"상록구","연립주택",1128,1130,1124,X,X,6,3015,3003,X,X,12
"상록구","다세대주택",47855,48089,46135,16,X,1938,122371,118048,111,X,4212
"상록구","비거주용건물내 주택",704,1625,1507,9,X,109,3545,3243,74,X,228
"상록구","주택이외의 거처",2125,2576,2197,35,44,300,9828,3566,294,5365,603
"상록구","오피스텔",989,992,955,X,X,37,1657,1598,X,X,59
"단원구","계",105667,141188,118188,93,100,22807,347930,292166,796,5967,49001
"단원구","주택",96227,130354,109877,50,X,20426,323967,280634,390,14,42929
"단원구","단독주택",7532,39885,27300,5,X,12580,76057,50708,43,X,25306
"단원구","아파트",61060,61298,59922,17,X,1359,174106,170483,113,X,3510
"단원구","연립주택",7397,7424,7251,X,X,173,19668,19217,X,X,451
"단원구","다세대주택",19644,19900,14393,16,X,5490,50222,38142,109,14,11957
"단원구","비거주용건물내 주택",594,1847,1011,12,X,824,3914,2084,125,X,1705
"단원구","주택이외의 거처",9440,10834,8311,43,99,2381,23963,11532,406,5953,6072
"단원구","오피스텔",6274,6307,5889,X,X,417,8666,7951,6,X,709
"고양시","계",346984,390836,385021,60,160,5595,1009619,989000,532,9344,10743
"고양시","주택",313254,355476,351183,29,6,4258,938774,930288,244,162,8080
"고양시","단독주택",21020,60980,58515,9,X,2454,125270,120751,66,50,4403
"고양시","아파트",248290,248612,247552,8,X,1051,699650,697526,60,23,2041
"고양시","연립주택",10579,10600,10514,X,X,85,29108,28887,6,X,215
"고양시","다세대주택",31854,31965,31462,X,X,500,77482,76365,21,X,1096
"고양시","비거주용건물내 주택",1511,3319,3140,8,X,168,7264,6759,91,89,325
"고양시","주택이외의 거처",33730,35360,33838,31,154,1337,70845,58712,288,9182,2663
"고양시","오피스텔",28310,28340,27811,X,X,527,49614,48866,12,X,736
"덕양구","계",154193,174973,172880,22,66,2005,442469,434496,180,4006,3787
"덕양구","주택",145028,165070,163331,13,X,1724,420846,417437,113,60,3236
"덕양구","단독주택",9702,28568,27635,X,X,930,56171,54466,18,31,1656
"덕양구","아파트",109238,109344,108948,X,X,392,300337,299540,32,X,765
"덕양구","연립주택",4575,4588,4547,X,X,41,11830,11733,X,X,97
"덕양구","다세대주택",20692,20745,20458,X,X,284,48645,48032,21,X,592
"덕양구","비거주용건물내 주택",821,1825,1743,X,X,77,3863,3666,42,29,126
"덕양구","주택이외의 거처",9165,9903,9549,9,64,281,21623,17059,67,3946,551
"덕양구","오피스텔",6766,6776,6684,X,X,92,12331,12204,X,X,127
"일산동구","계",96555,111229,109198,25,73,1933,282081,274192,235,3876,3778
"일산동구","주택",77396,91565,90396,6,X,1160,244487,242248,39,58,2142
"일산동구","단독주택",7648,21141,20379,X,X,758,45750,44358,18,19,1355
"일산동구","아파트",58538,58669,58431,X,X,236,167785,167327,7,23,428
"일산동구","연립주택",3899,3900,3885,X,X,15,11130,11098,X,X,32
"일산동구","다세대주택",6899,6942,6843,X,X,99,17750,17535,X,X,215
"일산동구","비거주용건물내 주택",412,913,858,X,X,52,2072,1930,14,16,112
"일산동구","주택이외의 거처",19159,19664,18802,19,70,773,37594,31944,196,3818,1636
"일산동구","오피스텔",17163,17182,16831,X,X,349,29372,28852,12,X,508
