,시군,총인구수,할인율_상시,할인율_한시,구매한도_월,구매한도_연,지역화폐사용액(천원),경제활동참가율,서비스업사업체비율,제조업사업체비율,도소매업사업체비율,운수업사업체비율,제조업종사자비율,도소매업종사자비율,운수업종사자비율,농업가구비율,합계출산율,도시지역면적,cluster_id
19,파주시,454040.0,0.06,0.1,40.0,40.0,8462572.0,61.0,0.6434851328657513,0.19131351048766834,0.2119924923441668,0.09657874806546148,0.4107221053306134,0.12135129073257216,0.05580535945059757,0.040427014057169385,1.05,81322573,0
20,이천시,215834.0,0.06,0.1,40.0,40.0,5020770.0,66.3,0.6807304410097272,0.11624992540430865,0.2239064271647669,0.11541445366115652,0.3353978006431926,0.10326449033977347,0.09466939735649484,0.08390262676801694,0.991,82195456,3
21,안성시,183405.0,0.06,0.1,50.0,50.0,8509106.0,66.5,0.6423708450140169,0.17868108396742755,0.20771592577759976,0.09110933119743693,0.4163172250946546,0.1032548955746448,0.04668607254814151,0.10741217119366472,1.002,156213560,0
22,김포시,437221.0,0.0,0.0,0.0,0.0,28981268.0,63.4,0.5723434761828899,0.2960331368488131,0.20605384737932134,0.0763740640433328,0.446296990889182,0.1373277353627993,0.0411983206088398,0.0307789600358566,1.016,101933117,4
23,화성시,815396.0,0.06,0.1,50.0,50.0,22496907.0,68.2,0.551696,0.305056,0.186992,0.083136,0.5056507299357275,0.08825260706846258,0.0317344471885365,0.037511316414959736,1.199,317786985,0
24,광주시,372654.0,0.06,0.06,40.0,40.0,7557041.0,62.5,0.5706053975200583,0.2402261123267688,0.22184536834427426,0.12231947483588622,0.35294117647058826,0.17415241958852504,0.07637641263401912,0.02491523864127011,1.043,172259487,0
25,양주시,222314.0,0.06,0.1,50.0,50.0,8292230.0,59.9,0.5840642442191594,0.24353571021756465,0.215400387287846,0.09482856817405172,0.3969280978626773,0.13632992137665034,0.04223294877500485,0.04317181667481605,1.03,150455382,0
26,포천시,148379.0,0.06,0.1,30.0,30.0,2377732.0,65.7,0.5385701102003149,0.3246837848108137,0.1959719884913957,0.07344878128223223,0.4673516348263499,0.1214106063038476,0.03334938727457591,0.09499799277398636,0.889,39013035,0
27,여주시,111083.0,0.06,0.09,40.0,40.0,2898929.0,61.4,0.6863501156769858,0.12504131320921008,0.23146414013440564,0.0887958576622232,0.19583637026239067,0.14358600583090378,0.04739887026239067,0.15169624395010112,1.083,26093192,6
28,연천군,43824.0,0.06,0.1,50.0,50.0,2183752.0,64.5,0.6951652553947009,0.10406992624965856,0.2108713466266048,0.05435673313302376,0.1891241899926515,0.10962656156055847,0.03173224664306233,0.17413955550629054,1.413,30445145,6
