,지역별,경제활동별,항목,2016,2015,2014,2013,2012,2011,2010
1386,안산시,농림어업,산출액(당해년가격),61641,63451,68336,63773,57083,55261,51249
1395,안산시,광업,산출액(당해년가격),20731,33861,24177,20064,17245,14771,6811
1404,안산시,제조업,산출액(당해년가격),37932664,38715273,38022561,39209814,37435080,34363957,29907837
1413,안산시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),992134,1016895,874951,1406754,1348826,1351842,1007579
1422,안산시,건설업,산출액(당해년가격),3230190,3089698,2774587,2346082,2284340,2066332,2231858
1431,안산시,도매 및 소매업,산출액(당해년가격),2522421,2383677,2370235,2396742,2327330,2143603,1984033
1440,안산시,운수업,산출액(당해년가격),1399878,1421230,1318794,1211384,1271522,1246111,1187280
1449,안산시,숙박 및 음식점업,산출액(당해년가격),1165457,1129657,1124138,1080900,1077323,1021548,907846
1458,안산시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),920393,927776,896159,794268,712387,666943,691119
1467,안산시,금융 및 보험업,산출액(당해년가격),1508125,1612332,1490484,1539375,1565139,1652396,1439558
1476,안산시,부동산 및 임대업,산출액(당해년가격),1784742,1683560,1688725,1561388,1387056,1336275,1259261
1485,안산시,사업서비스업,산출액(당해년가격),2848594,2690789,2854554,3055945,3005894,2144288,2067004
1494,안산시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),1140109,1030466,967360,942854,909025,924042,945776
1503,안산시,교육서비스업,산출액(당해년가격),1201878,1140016,1131364,1090316,1633550,1282425,1332493
1512,안산시,보건 및 사회복지사업,산출액(당해년가격),1470539,1364994,1318258,1289381,1204563,1156913,1116996
1521,안산시,문화 및 기타서비스업,산출액(당해년가격),1179154,1135182,1143469,1150258,1129913,1092144,1005671
1530,고양시,총부가가치(기초가격),산출액(당해년가격),35198471,32552416,30902159,30103564,28913099,26852581,25595759
1539,고양시,농림어업,산출액(당해년가격),39984,49741,46719,73013,65562,66733,95998
1548,고양시,광업,산출액(당해년가격),0,0,10943,10672,8622,0,0
1557,고양시,제조업,산출액(당해년가격),3370277,3444696,3283489,3204071,2982876,2796514,2816415
1566,고양시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),974563,985854,845147,1558960,1501682,952434,1031364
1575,고양시,건설업,산출액(당해년가격),4421165,3789164,3215841,2902526,3098511,3243166,2939608
1584,고양시,도매 및 소매업,산출액(당해년가격),4122805,3838489,3652818,3364018,3372608,3143709,2855545
1593,고양시,운수업,산출액(당해년가격),1897835,1790205,1812312,1618396,1594117,1480830,1314916
1602,고양시,숙박 및 음식점업,산출액(당해년가격),1606355,1536094,1439409,1376560,1336881,1313813,1210534
1611,고양시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),2857373,2552589,2491323,2317587,2192119,2132023,2078739
1620,고양시,금융 및 보험업,산출액(당해년가격),1919892,1835362,1844388,1935215,1947450,2032399,1770807
1629,고양시,부동산 및 임대업,산출액(당해년가격),3942968,3387552,3159278,2963451,2864842,2818417,2813944
1638,고양시,사업서비스업,산출액(당해년가격),2493188,2433767,2294634,2271640,2126905,1567107,1527291
1647,고양시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),1481740,1386642,1386938,1368660,1332296,1197498,1163179
1656,고양시,교육서비스업,산출액(당해년가격),1834931,1788117,1732776,1646236,1155864,937233,984567
1665,고양시,보건 및 사회복지사업,산출액(당해년가격),2292559,1986868,1922850,1843516,1755564,1640298,1577837
1674,고양시,문화 및 기타서비스업,산출액(당해년가격),1942836,1747276,1763293,1649043,1577200,1530407,1415014
1683,과천시,총부가가치(기초가격),산출액(당해년가격),5000411,4942873,4900821,4777601,5089239,5028693,4457875
1692,과천시,농림어업,산출액(당해년가격),6818,11986,9065,7431,6702,12872,21933
1701,과천시,광업,산출액(당해년가격),0,0,0,0,0,0,0
1710,과천시,제조업,산출액(당해년가격),55650,72233,81375,60076,54958,53273,54316
1719,과천시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),213647,510543,574848,539640,549418,191170,148918
1728,과천시,건설업,산출액(당해년가격),605957,571526,415611,353443,352791,661528,592189
1737,과천시,도매 및 소매업,산출액(당해년가격),357010,342818,322169,336678,334161,294670,277942
1746,과천시,운수업,산출액(당해년가격),96156,100726,99675,85015,74808,78722,67105
1755,과천시,숙박 및 음식점업,산출액(당해년가격),107470,113407,116709,107753,117495,109703,103842
1764,과천시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),443997,535720,601707,535724,507762,257988,151140
1773,과천시,금융 및 보험업,산출액(당해년가격),132739,131719,119079,116553,120229,129344,122440
1782,과천시,부동산 및 임대업,산출액(당해년가격),250605,240217,210580,203936,194105,189601,137170
1791,과천시,사업서비스업,산출액(당해년가격),653941,537158,479915,621755,642597,524267,544750
1800,과천시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),1406624,1109473,1223769,1169795,1310384,1563542,1408294
1809,과천시,교육서비스업,산출액(당해년가격),121577,120815,114732,119475,349219,313546,351173
1818,과천시,보건 및 사회복지사업,산출액(당해년가격),102417,98504,95573,102977,88582,90096,81356
1827,과천시,문화 및 기타서비스업,산출액(당해년가격),445803,446028,436014,417350,386027,558369,395309
1836,구리시,총부가가치(기초가격),산출액(당해년가격),7246341,6970149,6310531,6363263,6266972,5648019,5583333
1845,구리시,농림어업,산출액(당해년가격),2262,2223,2092,1292,1259,1422,3803
1854,구리시,광업,산출액(당해년가격),46,52,0,0,0,0,0
1863,구리시,제조업,산출액(당해년가격),356233,493899,508595,480611,505015,388051,437251
1872,구리시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),257687,262271,225073,355148,338794,252617,201668
