시군,총인구수,할인율_상시,할인율_한시,구매한도_월,구매한도_연,지역화폐사용액(천원),경제활동참가율,서비스업사업체비율,제조업사업체비율,도소매업사업체비율,운수업사업체비율,제조업종사자비율,도소매업종사자비율,운수업종사자비율,농업가구비율,합계출산율,도시지역면적,주택,전체대비주택비율,면적대비주택비율,미성년비율,청년비율,중년비율,장년비율,노년비율
구리시,199265,0.06,0.1,50,600,4011320.0,60.5,0.7529355543418896,0.055843801201529215,0.2901419989077007,0.11339432004369195,0.06086070791953145,0.21603079734567626,0.06053116433739271,0.006664463538224278,0.872,33292067,57693,0.0141544533914824,0.0017329353566421695,0.17994403730846106,0.1869686875416389,0.2521625582944704,0.25468887408394403,0.12623584277148567
남양주시,701830,0.06,0.1,50,600,12979396.0,57.8,0.6741289610594356,0.1498239529139734,0.2371643281307478,0.1072836197382942,0.2024914198550909,0.19913199803882406,0.0532180839794924,0.017411107547790218,0.908,242423014,221641,0.05437760567385213,0.0009142737578536996,0.20884707097401314,0.15851521088683346,0.2694582403061922,0.2312601570450024,0.13191932078795887
오산시,226379,0.06,0.1,30,360,6017615.0,64.1,0.707816091954023,0.07111111111111111,0.21026819923371648,0.1506513409961686,0.17162140446729873,0.13819701108789972,0.05688574642455407,0.012500402719159769,1.04,42757000,74061,0.01817019348320556,0.0017321374277896016,0.22328057540611854,0.20090985396890174,0.29391714856774515,0.1934529468231628,0.08843947523407178
시흥시,473682,0.05,0.1,40,480,30544406.0,66.2,0.5622483181018061,0.2940367967977623,0.22070844686648505,0.09088278556099444,0.4558824255165845,0.13952593162874022,0.0376204788060939,0.008321789285444425,1.081,135056862,152063,0.037307275511223,0.0011259183557811375,0.20522823085072897,0.19707602079943967,0.27870451230810833,0.2339936963335003,0.0849975397082227
군포시,275852,0.06,0.1,50,600,16642604.0,61.8,0.6440572846188543,0.1761953089760938,0.19108028867839424,0.10577356788452864,0.2604493015369872,0.117568464118536,0.09188750875382404,0.0032991307507674065,1.046,36460228,86794,0.02129411935001341,0.0023805117181384602,0.18444947400267306,0.19568938775979136,0.2485112379989507,0.2497941583085366,0.1215557419300483
의왕시,161153,0.06,0.1,40,400,6424547.0,59.4,0.6425940395133385,0.12434423484763925,0.2092867507534323,0.14689139412880906,0.18691452524147986,0.13205759066885364,0.09028613085474757,0.009290129888171149,0.924,53990394,50074,0.01228520096242334,0.0009274612813531236,0.17423161415781194,0.19310029003205614,0.23262960185301945,0.2703072215990921,0.12973127235802034
하남시,272455,0.06,0.1,50,600,14538314.0,64.0,0.7272312108559499,0.09590292275574112,0.34205375782881003,0.10457985386221294,0.11507629331269105,0.30498956952990725,0.059722641336149775,0.00923128074241402,0.975,93044652,77390,0.018986933388224277,0.0008317511897405988,0.19782106487301987,0.17845187955745534,0.2775568896152879,0.2232013766658285,0.12296878928840835
용인시,1059609,0.06,0.1,50,600,15960062.0,59.2,0.7351440547768526,0.08197560836826433,0.226561462739222,0.10587409669404244,0.1666232119366193,0.14262731248296376,0.06081193187878501,0.014778624020935945,0.936,388296611,326916,0.08020587046833863,0.0008419233924243548,0.2147612966323285,0.17191673974806115,0.2778288561717743,0.20835067753525086,0.12714242991258526
파주시,454040,0.06,0.1,40,400,8462572.0,61.0,0.6434851328657513,0.19131351048766834,0.2119924923441668,0.09657874806546148,0.4107221053306134,0.12135129073257216,0.05580535945059757,0.040427014057169385,1.05,81322573,143059,0.035098225915311754,0.0017591548658943685,0.2118819367171674,0.1718237324888014,0.2647579103540757,0.21879844408304566,0.13273797635690984
이천시,215834,0.06,0.1,40,400,5020770.0,66.3,0.6807304410097272,0.11624992540430865,0.22390642716476694,0.11541445366115652,0.3353978006431926,0.10326449033977347,0.09466939735649484,0.08390262676801694,0.991,82195456,68800,0.01687945493099664,0.0008370292391832463,0.19885212357139287,0.18299146578829167,0.24660877376852824,0.2358237261067026,0.13572391076508458
